repo,grade,stars,score,weekly,category
RevolutionLA/dsh-dream-skin,A,142,100,,状态 / 监控 / 用量
pengyue-polaron/deepseek-harness-genui,A,107,100,,会话管理
Renzic-Stone/DSH-EasyRewrite,A,102,96,,记忆 / 知识
mexiaosqwq/dsh-web-mobile,A,78,92,,其它
a179-sanae/dsh-auto-collapse,A,53,92,,其它
jjxjjjjiik-bot/dsh-chat-timeline,A,32,92,,其它
SenmuuuuW/dsh-whale-report,A,31,92,,状态 / 监控 / 用量
nevertoday/dsh-theme-plugin,A,23,92,,主题 / 视觉美化
Ultronen/dsh-archived-chats,A,18,92,,搜索 / 命令面板
CocoSgt/dsh-attachments,A,13,92,,其它
mmzm0808/dsh-deepseek-usage,A,10,92,,状态 / 监控 / 用量
CocoSgt/dsh-inspector,A,7,92,,其它
nonentity303/dsh-plugin-manager,A,7,92,,其它
lilyblessing/dsh-mcp-skill-panel,A,6,92,,其它
jiuyuechuwuhao/dsh-canvas-preview,A,4,92,,文件浏览 / 预览
zeng6125-rgb/dsh-llm-retry-settings,A,4,92,,状态 / 监控 / 用量
zhy201810576/dsh-vditor,A,2,92,,文件浏览 / 预览
Simon314620/dsh-turn-index,A,3,92,,会话管理
shaobeichen/dsh-pocket,A,952,91,,开发 / 数据
shanliuling/dsh-image-gen,A,314,90,,模型 / 代理
